,binary,cwe_checker,yara_rules,cve_bin_tool,size,compiler,static,Domain
1,3proxy,70,2,0,300624,gcc(Alpine),FALSE,Network
2,ab,10,0,0,59744,Unk,FALSE,Network
3,ag,69,3,4,355576,gcc(-),TRUE,System
4,aircrack-ng,107,5,0,173368,gcc(3.X),FALSE,Network
5,airdecap-ng,96,3,0,63640,Unk,FALSE,System
6,airolib-ng,41,3,0,71912,Unk,FALSE,System
7,apt-cache,86,0,0,88376,gcc(3.X),FALSE,Network
8,apt-ftparchive,433,0,0,276800,gcc(3.X),FALSE,Network
9,apt-mark,40,0,0,51512,gcc(3.X),FALSE,System
10,ar,278,4,0,1195384,gcc(GNU),TRUE,System
11,aria_chk,861,1,0,4484240,gcc(-),FALSE,System
12,aria_dump_log,807,1,0,4277296,gcc(-),FALSE,System
13,aria_ftdump,824,1,0,4293840,gcc(-),FALSE,System
14,aria_pack,818,1,0,4319984,gcc(-),FALSE,System
15,aria_read_log,869,1,0,4438704,gcc(-),FALSE,System
16,arj,311,3,0,394283,Unk,FALSE,System
17,aspell,246,0,0,162144,Unk,FALSE,System
18,atk6-alive6,116,0,0,81704,Unk,FALSE,Network
19,atk6-dnsdict6,37,5,0,994720,Unk,FALSE,Network
20,atk6-fake_router26,104,0,0,55248,Unk,FALSE,Network
21,atk6-firewall6,95,0,0,75696,Unk,FALSE,Network
22,atk6-fragmentation6,87,0,0,71624,Unk,FALSE,Network
23,atk6-fragrouter6,85,0,0,51152,Unk,FALSE,Network
24,atk6-fuzz_dhcps6,111,0,0,52464,Unk,FALSE,Network
25,atk6-fuzz_ip6,115,0,0,52040,Unk,FALSE,Network
26,atk6-implementation6,119,0,0,79792,Unk,FALSE,Network
27,atk6-thcping6,93,0,0,55240,Unk,FALSE,Network
28,atk6-trace6,82,0,0,51136,Unk,FALSE,Network
29,atril,30,0,0,481648,Unk,FALSE,System
30,atril-previewer,1,0,0,51568,Unk,FALSE,System
31,axel,44,1,0,68200,Unk,FALSE,Network
32,b2sum,24,1,0,60352,Unk,FALSE,System
33,basenc,18,1,0,56160,Unk,FALSE,System
34,bash,1601,2,1,1113504,Unk,FALSE,System
35,bccmd,42,0,0,242160,Unk,FALSE,Network
36,bitmap,32,0,0,109528,Unk,FALSE,System
37,bluemoon,51,0,0,92392,Unk,FALSE,Network
38,bluetoothctl,106,0,0,260816,Unk,FALSE,Network
39,bootctl,41,0,0,63832,Unk,FALSE,System
40,broadwayd,11,1,0,121064,Unk,FALSE,Network
41,btattach,65,0,0,88296,Unk,FALSE,Network
42,btmgmt,152,0,0,368608,Unk,FALSE,Network
43,btmon,185,2,0,876728,Unk,FALSE,Network
44,btrfs-image,271,2,0,396432,Unk,FALSE,System
45,bulk_extractor,2340,5,0,5172920,gcc(3.X),FALSE,System
46,bully,188,7,0,163792,Unk,FALSE,Network
47,busctl,23,0,0,84312,Unk,FALSE,Network
48,bwrap,32,0,0,59680,Unk,FALSE,System
49,cadaver,165,0,0,115808,Unk,FALSE,Network
50,cgpt,23,2,0,63760,Unk,TRUE,System
51,chage,29,0,0,80256,Unk,FALSE,System
52,chcon,29,0,0,72768,Unk,FALSE,System
53,cherrytree,2189,6,0,5051680,gcc(3.X),FALSE,System
54,chfn,31,0,0,58416,Unk,FALSE,System
55,chgrp,32,0,0,63672,Unk,FALSE,System
56,chmod,30,0,0,59608,Unk,FALSE,System
57,choom,18,0,0,51432,Unk,FALSE,System
58,chown,33,0,0,67768,Unk,FALSE,System
59,chsh,25,0,0,52880,Unk,FALSE,System
60,cifsdd,16,0,6,90520,Unk,FALSE,Network
61,ciptool,55,0,0,190224,Unk,FALSE,System
62,citrix,117,2,0,72184,Unk,FALSE,Network
63,cjpeg,3,0,0,51456,Unk,FALSE,System
64,closed_source_web_server_fuzz,125,2,0,63992,Unk,FALSE,Network
65,cluster,527,0,0,565816,Unk,FALSE,System
66,colormgr,12,0,0,55448,Unk,FALSE,System
67,column,50,0,0,51440,Unk,FALSE,System
68,corkscrew,15,1,0,59488,gcc(Alpine),FALSE,Network
69,cp,101,0,0,141528,Unk,FALSE,System
70,cpio,151,0,73,157224,Unk,FALSE,System
71,crunch,111,0,0,59384,Unk,FALSE,System
72,csplit,131,0,0,121920,Unk,FALSE,System
73,curl,63,0,4,256072,gcc(Alpine),TRUE,Network
74,curlftpfs,30,0,0,61984,Unk,FALSE,Network
75,cutycapt,2,1,0,51440,gcc(3.X),FALSE,System
76,cvtsudoers,176,1,0,281576,Unk,FALSE,System
77,dash,53,0,0,121432,Unk,FALSE,System
78,date,72,0,0,100568,Unk,FALSE,System
79,dbd,33,0,0,51928,gcc(-),FALSE,System
80,dbus-daemon,20,0,18,244928,Unk,FALSE,System
81,dceoversmb,132,2,0,68104,Unk,FALSE,Network
82,dd,63,0,0,76000,Unk,FALSE,System
83,desktop-file-install,17,0,0,94520,Unk,FALSE,System
84,desktop-file-validate,18,0,0,82480,Unk,FALSE,System
85,df,71,0,0,84776,Unk,FALSE,System
86,diff,230,0,0,208320,Unk,FALSE,System
87,diff3,53,0,0,64512,Unk,FALSE,System
88,dig,174,0,0,133792,Unk,FALSE,Network
89,dir,158,0,0,133792,Unk,FALSE,System
90,dirb,81,0,0,66360,Unk,FALSE,System
91,dirmngr,527,2,0,579216,Unk,FALSE,Network
92,dirmngr-client,93,1,0,109344,Unk,FALSE,Network
93,dmesg,28,0,0,72000,Unk,FALSE,System
94,dns2tcpc,32,1,0,59736,Unk,FALSE,Network
95,dns2tcpd,40,1,0,59680,Unk,FALSE,Network
96,dos2unix,5,0,0,55464,Unk,FALSE,System
97,do_post,128,2,0,63992,Unk,FALSE,Network
98,dpkg,178,1,0,313888,Unk,FALSE,System
99,dpkg-deb,95,1,0,162184,Unk,FALSE,System
100,dpkg-divert,92,1,0,154048,Unk,FALSE,System
101,dpkg-query,109,1,0,166328,Unk,FALSE,System
102,dpkg-split,82,1,0,125272,Unk,FALSE,System
103,dpkg-statoverride,29,0,0,63608,Unk,FALSE,System
104,dpkg-trigger,33,1,0,80216,Unk,FALSE,System
105,du,166,0,0,175360,Unk,FALSE,System
106,dumpcap,33,0,0,117088,Unk,FALSE,Network
107,dumpkeys,31,0,0,170520,Unk,FALSE,System
108,ed,47,0,0,51512,Unk,FALSE,System
109,edgepaint,324,0,0,422160,Unk,FALSE,System
110,editcap,9,0,0,59488,Unk,FALSE,Network
111,editres,22,0,0,75296,Unk,FALSE,System
112,eject,54,0,0,79952,Unk,FALSE,System
113,engrampa,155,0,0,484264,Unk,FALSE,System
114,eqn,106,0,0,206176,gcc(3.X),FALSE,System
115,etterfilter,35,0,0,56208,Unk,FALSE,System
116,etterlog,13,0,0,52448,Unk,FALSE,System
117,exiv2,373,0,0,229256,gcc(3.X),FALSE,System
118,exo-desktop-item-edit,1,0,0,80600,Unk,FALSE,System
119,expr,168,0,0,117728,Unk,FALSE,System
120,factor,54,0,0,81056,Unk,FALSE,System
121,fastjar,59,0,0,51872,Unk,FALSE,System
122,fidentify,93,5,0,328008,Unk,FALSE,System
123,filan,74,0,0,94168,Unk,FALSE,System
124,file,19,0,0,194976,gcc(GNU),TRUE,System
125,find,260,0,0,311008,Unk,FALSE,System
126,findmnt,20,0,0,64784,Unk,FALSE,System
127,fish,668,1,0,2691288,gcc(Alpine),FALSE,System
128,fiwalk,198,3,0,225160,gcc(3.X),FALSE,System
129,flac,96,0,0,206200,Unk,FALSE,System
130,futility,191,6,0,244672,Unk,TRUE,System
131,g-ir-compiler,360,0,0,191512,Unk,FALSE,System
132,gatttool,212,0,0,342944,Unk,FALSE,Network
133,gawk,573,1,0,694624,Unk,FALSE,System
134,gdbus,12,0,0,51440,Unk,FALSE,Network
135,generic_chunked,120,2,0,72192,Unk,FALSE,Network
136,generic_listen_tcp,116,2,0,72192,Unk,FALSE,Network
137,generic_send_tcp,116,2,0,72192,Unk,FALSE,Network
138,generic_send_udp,116,2,0,72192,Unk,FALSE,Network
139,generic_web_server_fuzz,120,2,0,72192,Unk,FALSE,Network
140,generic_web_server_fuzz2,120,2,0,72192,Unk,FALSE,Network
141,gio,47,0,0,88312,Unk,FALSE,Network
142,git,2702,5,0,3343280,Unk,FALSE,Network
143,git-shell,1939,5,0,1733608,Unk,FALSE,Network
144,gnome-keyring-daemon,229,0,0,1143712,Unk,FALSE,System
145,gopherd,118,2,0,63992,Unk,FALSE,System
146,gpasswd,69,0,0,88304,Unk,FALSE,System
147,gpg,772,3,0,1099632,Unk,FALSE,Network
148,gpg-agent,369,1,0,410440,Unk,FALSE,Network
149,gpg-connect-agent,136,0,0,150400,Unk,FALSE,Network
150,gpg-wks-server,161,0,0,195504,Unk,FALSE,Network
151,gpgcompose,673,3,0,915600,Unk,FALSE,Network
152,gpgconf,95,0,0,166496,Unk,FALSE,System
153,gpgsm,370,1,0,510976,Unk,FALSE,Network
154,gpgsplit,67,0,0,72176,Unk,FALSE,Network
155,gpgtar,126,0,0,146688,Unk,FALSE,System
156,gpgv,294,3,0,449400,Unk,FALSE,System
157,grep,186,1,0,219456,Unk,FALSE,System
158,grepjar,132,0,0,96896,Unk,FALSE,System
159,groff,184,0,0,124288,gcc(3.X),FALSE,System
160,grops,218,0,0,186144,gcc(3.X),FALSE,System
161,grotty,147,0,0,136608,gcc(3.X),FALSE,System
162,grub-editenv,121,0,18,250840,Unk,FALSE,System
163,grub-file,273,7,0,803976,Unk,FALSE,System
164,grub-fstest,317,11,18,932680,Unk,FALSE,System
165,grub-glue-efi,123,0,18,250648,Unk,FALSE,System
166,grub-menulst2cfg,94,0,0,230216,Unk,FALSE,System
167,grub-mkfont,131,0,18,275928,Unk,FALSE,System
168,grub-mkimage,189,4,18,358328,Unk,FALSE,System
169,grub-mklayout,124,0,18,255064,Unk,FALSE,System
170,grub-mknetdir,246,4,18,408264,Unk,FALSE,Network
171,grub-mkpasswd-pbkdf2,128,2,18,255128,Unk,FALSE,System
172,grub-mkrelpath,127,0,18,246264,Unk,FALSE,System
173,grub-mkrescue,442,8,18,982488,Unk,FALSE,System
174,grub-mkstandalone,273,4,18,490520,Unk,FALSE,System
175,grub-mount,293,7,18,751384,Unk,FALSE,System
176,grub-render-label,298,7,18,820936,Unk,FALSE,System
177,grub-script-check,127,0,18,275064,Unk,FALSE,System
178,grub-syslinux2cfg,262,7,18,772312,Unk,FALSE,System
179,gvmap,533,0,0,574040,Unk,FALSE,System
180,gzip,71,1,0,101560,Unk,FALSE,System
181,halflife,117,2,0,63992,Unk,FALSE,Network
182,hashcat,348,4,0,989408,Unk,FALSE,System
183,hashdeep,188,5,0,244120,gcc(3.X),FALSE,System
184,hciattach,54,0,0,182384,Unk,FALSE,Network
185,hciconfig,59,0,0,237776,Unk,FALSE,System
186,hcidump,107,0,0,533176,Unk,FALSE,Network
187,hcitool,69,0,0,192240,Unk,FALSE,Network
188,heartbleeder,1403,12,0,4251332,Unk,TRUE,Network
189,hexdump,29,0,0,55544,Unk,FALSE,System
190,hexeditor,82,0,0,84248,Unk,FALSE,System
191,host,72,0,0,105088,Unk,FALSE,Network
192,hotpatcher,27,1,0,51728,Unk,FALSE,Network
193,ht,235,6,0,2366800,gcc(GNU),TRUE,System
194,htop,71,0,0,490440,gcc(Alpine),FALSE,System
195,httptunnel-client,13,0,0,104752,gcc(-),TRUE,Network
196,httptunnel-server,13,0,0,104880,gcc(-),TRUE,Network
197,hydra,669,6,0,378912,Unk,FALSE,Network
198,ico,2,0,0,52072,Unk,FALSE,System
199,iconv,40,0,0,60424,Unk,FALSE,System
200,ike-scan,73,0,0,118984,Unk,FALSE,Network
201,infocmp,68,0,0,63720,Unk,FALSE,System
202,innochecksum,296,2,0,3731640,gcc(-),FALSE,System
203,install,97,0,0,159528,Unk,FALSE,System
204,iostat,62,0,0,67904,Unk,FALSE,System
205,ip,205,1,0,558200,Unk,FALSE,Network
206,ipcs,21,0,0,71912,Unk,FALSE,System
207,ivstools,40,3,0,55448,Unk,FALSE,System
208,join,23,0,0,56224,Unk,FALSE,System
209,journalctl,6,0,13,63576,Unk,FALSE,System
210,kbxutil,145,0,0,162504,Unk,FALSE,System
211,kismetdb_clean,524,0,0,179064,gcc(3.X),FALSE,System
212,kismetdb_dump_devices,611,0,0,445512,gcc(3.X),FALSE,Network
213,kismetdb_statistics,619,0,0,465856,gcc(3.X),FALSE,Network
214,kismetdb_to_gpx,633,0,0,478272,gcc(3.X),FALSE,System
215,kismetdb_to_kml,647,0,0,490592,gcc(3.X),FALSE,System
216,kismetdb_to_pcap,657,0,0,503088,gcc(3.X),FALSE,System
217,kismetdb_to_wiglecsv,636,0,0,478304,gcc(3.X),FALSE,System
218,kismet_cap_kismetdb,36,0,0,146296,Unk,FALSE,Network
219,kismet_cap_linux_bluetooth,46,0,0,158424,Unk,FALSE,Network
220,kismet_cap_linux_wifi,135,0,0,215480,Unk,FALSE,Network
221,kismet_cap_nrf_51822,46,0,0,142040,Unk,FALSE,Network
222,kismet_cap_nrf_52840,40,0,0,146136,Unk,FALSE,Network
223,kismet_cap_nrf_mousejack,51,0,0,146136,Unk,FALSE,Network
224,kismet_cap_nxp_kw41z,42,0,0,146136,Unk,FALSE,Network
225,kismet_cap_pcapfile,38,0,0,142200,Unk,FALSE,Network
226,kismet_cap_rz_killerbee,43,0,0,146136,Unk,FALSE,Network
227,kismet_cap_ti_cc_2531,44,0,0,146136,Unk,FALSE,Network
228,kismet_cap_ti_cc_2540,44,0,0,146136,Unk,FALSE,Network
229,kismet_cap_ubertooth_one,45,0,0,146136,Unk,FALSE,Network
230,kmod,285,0,0,149688,Unk,FALSE,System
231,l2ping,26,0,0,143400,Unk,FALSE,Network
232,l2test,27,0,0,156016,Unk,FALSE,Network
233,ld,360,7,0,1997432,gcc(GNU),TRUE,System
234,ldapcompare,43,1,0,63648,Unk,FALSE,Network
235,ldapdelete,68,1,0,67776,Unk,FALSE,Network
236,ldapexop,42,1,0,63648,Unk,FALSE,Network
237,ldapmodify,42,1,0,75936,Unk,FALSE,Network
238,ldapmodrdn,41,1,0,63648,Unk,FALSE,Network
239,ldappasswd,44,1,0,63648,Unk,FALSE,Network
240,ldapsearch,86,1,3,92352,Unk,FALSE,Network
241,ldapwhoami,40,1,0,63648,Unk,FALSE,Network
242,ldrdf,55,2,0,109160,Unk,FALSE,System
243,lefty,273,0,0,298320,Unk,FALSE,System
244,less,121,0,0,170760,Unk,FALSE,System
245,lexgrog,17,0,0,101344,Unk,FALSE,System
246,light-locker,1,0,18,109176,Unk,FALSE,System
247,line_send_tcp,116,2,0,72192,Unk,FALSE,Network
248,ln,51,0,0,67808,Unk,FALSE,System
249,loadkeys,64,0,0,211528,Unk,FALSE,System
250,locale,25,0,0,55336,Unk,FALSE,System
251,localedef,336,1,0,315136,Unk,FALSE,System
252,logger,50,0,18,52040,Unk,FALSE,System
253,login,51,0,0,52664,Unk,FALSE,System
254,logtop,19,0,0,220984,gcc(Alpine),FALSE,System
255,lowntfs-3g,80,1,0,109232,Unk,FALSE,System
256,ls,158,0,0,133792,Unk,FALSE,System
257,lsblk,49,0,0,84048,Unk,FALSE,System
258,lsciphers,669,1,0,1718744,Unk,TRUE,System
259,lscpu,66,1,0,100584,Unk,FALSE,System
260,lsipc,39,0,0,96488,Unk,FALSE,System
261,lslogins,47,0,18,67816,Unk,FALSE,System
262,lsmem,28,0,0,67816,Unk,FALSE,System
263,lsns,16,0,0,51440,Unk,FALSE,System
264,lsof,207,0,0,171488,Unk,FALSE,System
265,lspci,7,0,0,94152,Unk,FALSE,System
266,lstopo,47,0,0,132000,Unk,FALSE,System
267,lstopo-no-graphics,47,0,0,119008,Unk,FALSE,System
268,lsusb,33,0,0,252912,Unk,FALSE,System
269,luit,9,0,0,54144,Unk,FALSE,System
270,make,469,1,0,240280,Unk,FALSE,System
271,man,61,0,0,115600,Unk,FALSE,System
272,mandb,50,1,0,138392,Unk,FALSE,System
273,mariadb,858,4,2,4139000,gcc(-),FALSE,System
274,mariadb-admin,753,4,2,3887936,Unk,FALSE,System
275,mariadb-binlog,930,5,0,4144024,gcc(-),FALSE,System
276,mariadb-check,737,4,2,3889376,Unk,FALSE,System
277,mariadb-conv,286,1,2,3648088,gcc(-),FALSE,System
278,mariadb-dump,770,4,2,3963872,Unk,FALSE,System
279,mariadb-import,704,4,2,3880064,Unk,FALSE,System
280,mariadb-plugin,252,1,2,3599616,Unk,FALSE,System
281,mariadb-show,745,4,2,3878592,Unk,FALSE,System
282,mariadb-slap,746,4,2,3893728,Unk,FALSE,System
283,mariadb-tzinfo-to-sql,247,1,2,3594976,Unk,FALSE,System
284,mariadb-upgrade,261,1,2,3687104,Unk,FALSE,System
285,mariadb-waitpid,241,1,0,3586528,Unk,FALSE,System
286,mariadbd-safe-helper,215,1,0,3557120,Unk,FALSE,System
287,masscan,451,8,0,492912,Unk,FALSE,Network
288,mate-calc,119,1,0,305368,Unk,FALSE,System
289,mate-calc-cmd,114,1,0,149080,Unk,FALSE,System
290,mawk,97,0,0,158296,Unk,FALSE,System
291,md5deep,188,5,0,244120,gcc(3.X),FALSE,System
292,mdsearch,76,0,6,80328,Unk,FALSE,System
293,medusa,140,1,0,71704,Unk,FALSE,Network
294,metaflac,95,0,0,122912,Unk,FALSE,System
295,mingle,325,0,0,422480,gcc(3.X),FALSE,System
296,minicom,203,0,0,211640,Unk,FALSE,Network
297,mkdir,52,0,0,80056,Unk,FALSE,System
298,mkfifo,37,0,0,68704,Unk,FALSE,System
299,mkfs.btrfs,247,2,0,396464,Unk,FALSE,System
300,mknod,39,0,0,67768,Unk,FALSE,System
301,mksquashfs,158,0,0,207840,Unk,FALSE,System
302,mm2gv,102,0,0,88752,Unk,FALSE,System
303,mmcli,27,0,0,226336,Unk,FALSE,System
304,more,23,0,0,59632,Unk,FALSE,System
305,mount,23,0,0,55528,Unk,FALSE,System
306,mousepad,36,0,0,338960,Unk,FALSE,System
307,mpg123.bin,113,1,0,158280,Unk,FALSE,System
308,mpris-proxy,15,0,0,96704,Unk,FALSE,Network
309,mpstat,69,0,0,63808,Unk,FALSE,System
310,msrpcfuzz,130,2,0,68104,Unk,FALSE,Network
311,msrpcfuzz_udp,130,2,0,68104,Unk,FALSE,Network
312,mt-gnu,105,0,77,80512,Unk,FALSE,System
313,mv,94,0,0,137440,Unk,FALSE,System
314,myisamchk,511,1,0,3994880,Unk,FALSE,System
315,myisamlog,446,1,0,3857920,Unk,FALSE,System
316,myisampack,471,1,0,3892352,Unk,FALSE,System
317,myisam_ftdump,463,1,0,3871296,Unk,FALSE,System
318,my_print_defaults,242,1,0,3591328,Unk,FALSE,System
319,nano,319,0,0,245872,gcc(Alpine),FALSE,System
320,nasm,1161,2,0,1739352,Unk,FALSE,System
321,ncdu,138,1,0,403280,gcc(GNU),TRUE,System
322,ncrack,585,10,25,667200,gcc(3.X),FALSE,Network
323,ndisasm,29,0,0,1300696,Unk,FALSE,System
324,net,374,2,6,973856,Unk,FALSE,Network
